author,quote,tags
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,change
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,inspirational
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",aliteracy
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,adulthood
Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”",simplicity
Mark Twain,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",books
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,change
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,inspirational
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",aliteracy
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,adulthood
